cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,pct_muertes_covid,_den_pct_muertes_covid,_den_edad_prom_fallecimiento,fallecidos_2023,emigrantes_x1000,tasa_mortalidad
070303,85,24.180722891566266,20.0,85,23.529411764705884,85,41.1764705882353,85,9.411764705882353,85,1.1764705882352942,85,85,144,54.12213740458015,13.194444444444445,144,144,36,9.613209681067632,4.07147704139335
070401,580,25.601423487544483,17.93103448275862,580,12.586206896551724,580,57.58620689655172,580,6.551724137931035,580,1.5517241379310345,580,580,286,60.06007067137809,8.041958041958042,286,286,62,42.487729836642,4.541791810123801
070402,824,26.512722646310433,16.50485436893204,824,7.766990291262136,824,55.58252427184466,824,11.650485436893204,824,2.1844660194174756,824,824,550,56.56716417910448,16.545454545454547,550,550,132,43.50121423292155,6.968641114982578
070403,2253,25.97530864197531,13.359964491788727,2253,12.87172658677319,2253,59.65379494007989,2253,8.122503328894807,2253,2.041722148246782,2253,2253,1499,54.768115942028984,15.943962641761175,1499,1499,333,38.983285462158705,5.761843790012804
070404,386,27.31496062992126,9.585492227979275,386,10.621761658031089,386,55.44041450777202,386,4.404145077720207,386,1.8134715025906736,386,386,244,58.52719665271967,13.524590163934427,244,244,47,37.84313725490196,4.607843137254902
070501,396,25.71087533156499,17.67676767676768,396,14.393939393939394,396,30.303030303030305,396,7.070707070707071,396,6.565656565656566,396,396,663,54.70947030497592,13.8763197586727,663,663,191,9.66466539756919,4.661492653878069
070502,445,25.837647058823528,12.808988764044944,445,16.629213483146067,445,45.61797752808989,445,4.943820224719101,445,3.3707865168539324,445,445,766,49.89655172413793,12.140992167101828,766,766,201,8.165886778603541,3.6884117808973302
070503,250,26.420833333333334,6.8,250,31.2,250,42.0,250,13.2,250,2.0,250,250,413,61.60102301790281,11.380145278450364,413,413,105,13.324095293929542,5.596120023450408
070601,435,27.063569682151588,9.425287356321839,435,7.816091954022989,435,51.49425287356322,435,15.402298850574713,435,12.413793103448276,435,435,457,60.80316742081448,12.910284463894968,457,457,103,20.970929952273057,4.965530540423275
070602,502,26.373673036093418,19.322709163346612,502,7.370517928286852,502,58.56573705179283,502,9.362549800796813,502,1.792828685258964,502,502,480,58.33477321814255,8.541666666666666,480,480,122,27.890438357686538,6.778154341907884
070603,150,26.110294117647058,15.333333333333334,150,4.666666666666667,150,60.666666666666664,150,7.333333333333333,150,5.333333333333333,150,150,145,60.82517482517483,13.10344827586207,145,145,30,24.9708673214583,4.994173464291659
070701,116,24.785714285714285,11.206896551724139,116,24.137931034482758,116,56.03448275862069,116,5.172413793103448,116,0.8620689655172413,116,116,135,57.42748091603053,9.62962962962963,135,135,30,19.508913555331315,5.045408678102926
070702,322,26.52145214521452,14.596273291925465,322,13.664596273291925,322,49.68944099378882,322,6.832298136645963,322,4.658385093167702,322,322,720,50.487698986975396,10.13888888888889,720,720,190,8.38105153565851,4.945340968245706
070703,507,26.945147679324894,11.834319526627219,507,17.94871794871795,507,47.928994082840234,507,3.747534516765286,507,3.9447731755424065,507,507,643,55.80713128038898,11.66407465007776,643,643,152,15.381814872121598,4.611510573101544
070704,27,27.884615384615383,18.51851851851852,27,18.51851851851852,27,44.44444444444444,27,11.11111111111111,27,3.7037037037037037,27,27,99,62.26315789473684,9.090909090909092,99,99,23,5.060918462980319,4.311152764761013
